mall_name,Clinic (CHAS),Clinic (PHPC),Gym (GeoJSON),Gym/Sports (CSV),HDP Outlet,Total,has_bike_rack,has_playground,longitude,latitude,HPM,hpb_event_count,hpb_session_count,total_participation,edsh_store_count,edsh_scan_count_12m,catchment_population,catchment_seniors,supermarket_outlet_count,satisfy
Buangkok Square,1,0,0,3,1,5,0,0,103.8822490919144,1.384587372504694,1,16.0,149.0,2389.0,9.0,43941.0,74219.0,13244.0,2.0,0
One Holland Village,0,0,0,2,3,5,0,0,103.7937742789214,1.312102865829644,0,0.0,0.0,0.0,2.0,27092.0,31851.0,8758.0,1.0,0
The Shoppes@MBS,0,0,0,0,4,4,0,0,103.8589822829701,1.284234960270266,0,0.0,0.0,0.0,10.0,10286.0,2137.0,173.0,1.0,0
Bukit Timah Shopping Centre,0,0,0,4,0,4,0,0,103.7760313543784,1.343164753416988,0,0.0,0.0,0.0,0.0,0.0,23683.0,4901.0,0.0,0
Dawson PLace,2,0,0,0,2,4,0,0,103.810958956467,1.292703398550616,0,4.0,4.0,32.0,17.0,96354.0,61578.0,13529.0,1.0,0
Junction 10,1,0,0,2,1,4,1,0,103.7601678834385,1.38033681049385,0,3.0,3.0,53.0,3.0,0.0,82670.0,16721.0,1.0,0
Cinelesiure,0,0,0,1,3,4,0,0,103.8364296550156,1.30152101873534,0,0.0,0.0,0.0,4.0,2686.0,19940.0,3048.0,0.0,0
NTP+,0,0,0,2,2,4,1,0,103.8615332,1.351485853,0,7.0,53.0,482.0,0.0,0.0,32219.0,8510.0,0.0,0
321 Clementi,0,0,0,2,2,4,0,0,103.7649866763643,1.312002120308228,0,0.0,0.0,0.0,3.0,0.0,68115.0,16402.0,0.0,0
Depot Heights Shopping Centre,2,2,0,0,0,4,0,0,103.8101425957688,1.280864938609272,0,4.0,4.0,14.0,1.0,36718.0,39946.0,10093.0,1.0,0
Grantral Mall@Clementi,1,1,0,2,0,4,1,0,103.7651474874818,1.314270439222949,0,0.0,0.0,0.0,2.0,0.0,67277.0,15482.0,0.0,0
Wisma Atria,0,0,0,0,4,4,0,0,103.8332057528079,1.303704774261485,0,17.0,48.0,177.0,12.0,795.0,19820.0,3345.0,1.0,0
Vista Point,1,0,0,1,2,4,0,0,103.7939274294759,1.430897146030165,0,4.0,4.0,44.0,8.0,119786.0,81145.0,10526.0,2.0,0
Orchard Central,0,0,0,4,0,4,0,0,103.8394347338989,1.300838908392453,0,0.0,0.0,0.0,1.0,0.0,19891.0,2790.0,0.0,0
Anchorvale Village,0,0,0,2,2,4,1,0,103.8881632670274,1.396544677116974,0,4.0,4.0,34.0,17.0,253657.0,80407.0,9475.0,1.0,0
Pacific Plaza,1,0,1,1,1,4,0,0,103.8321281742146,1.306547046977021,0,0.0,0.0,0.0,1.0,0.0,17017.0,3085.0,0.0,0
Katong Shopping Centre,1,0,0,2,0,3,0,0,103.9015159169702,1.304097311509515,0,4.0,41.0,1064.0,1.0,441.0,31341.0,6673.0,0.0,0
Yew Tee Square,2,0,0,0,1,3,1,0,103.747344865384,1.398321345294623,0,4.0,4.0,52.0,25.0,117675.0,66729.0,10987.0,0.0,0
Delfi Orchard,0,0,1,1,1,3,0,0,103.8284699943235,1.307178872984664,0,0.0,0.0,0.0,1.0,0.0,14145.0,2839.0,0.0,0
Tanglin Place,0,0,1,2,0,3,0,0,103.8250788767588,1.305272193185753,0,0.0,0.0,0.0,0.0,0.0,11784.0,2465.0,0.0,0
Lucky Plaza,1,0,0,2,0,3,0,0,103.8339623398165,1.304506046466357,0,0.0,0.0,0.0,4.0,1406.0,17694.0,3050.0,0.0,0
Admiralty Place,1,0,0,2,0,3,1,0,103.801706470491,1.439386153805416,0,0.0,0.0,0.0,0.0,0.0,111436.0,14223.0,0.0,0
Alexandra Central,0,0,0,1,2,3,0,0,103.8054146520141,1.287456123776994,0,0.0,0.0,0.0,0.0,0.0,42917.0,10246.0,0.0,0
KAP,1,0,0,2,0,3,1,0,103.8864348202392,1.337007858671026,0,0.0,0.0,0.0,2.0,0.0,3169.0,787.0,0.0,0
Shaw Centre,2,1,0,0,0,3,0,0,103.8319705818116,1.306113346556505,0,0.0,0.0,0.0,0.0,0.0,16719.0,3041.0,0.0,0
Beauty World Centre,0,0,0,2,1,3,1,0,103.7765393854061,1.342412641886426,0,0.0,0.0,0.0,19.0,90872.0,24730.0,5107.0,1.0,0
Grantral Mall@Macpherson,0,2,0,0,0,2,1,0,103.8875308,1.333722109,0,2.0,5.0,63.0,0.0,0.0,24457.0,5961.0,0.0,0
Scotts Square,0,0,0,0,2,2,0,0,103.8330747062191,1.305799429661715,0,0.0,0.0,0.0,1.0,29357.0,16808.0,2987.0,1.0,0
Forum Shopping Mall,0,0,1,0,1,2,0,0,103.8286785560409,1.306097521645643,0,0.0,0.0,0.0,6.0,5070.0,14387.0,2800.0,0.0,0
Serene Centre,0,0,0,1,1,2,1,0,103.8137065295714,1.3225246443153,0,0.0,0.0,0.0,2.0,0.0,12148.0,2757.0,0.0,0
Djitsun Mall Bedok,0,0,0,1,1,2,0,0,103.9295544956149,1.326119703294682,0,0.0,0.0,0.0,0.0,0.0,78187.0,22816.0,0.0,0
Djit sun Mall Ang Mo Kio,0,0,0,2,0,2,0,0,103.8476449774928,1.37286217975215,0,19.0,301.0,7191.0,0.0,0.0,68977.0,19481.0,0.0,0
Fortune Centre,0,0,0,0,2,2,0,0,103.8522866273858,1.300422419139759,0,0.0,0.0,0.0,1.0,4778.0,15720.0,3957.0,0.0,0
Icon Village,0,0,0,1,1,2,0,0,103.8445102,1.275082974,0,0.0,0.0,0.0,1.0,18421.0,20452.0,4716.0,0.0,0
Rochester Mall,1,0,0,1,0,2,0,0,103.7884467,1.305407656,0,1.0,4.0,9.0,0.0,0.0,38847.0,10099.0,0.0,0
Jelita Mall,0,0,0,0,2,2,0,0,103.7858505425145,1.317545559398872,0,0.0,0.0,0.0,3.0,36144.0,24215.0,6013.0,1.0,0
Sim Lim Square,0,0,0,0,2,2,1,0,103.8530378140664,1.303024260571796,0,0.0,0.0,0.0,0.0,0.0,20475.0,5198.0,0.0,0
New Bahru,0,0,0,1,0,1,0,0,103.8396509397047,1.292880418808305,0,0.0,0.0,0.0,1.0,10286.0,22924.0,4809.0,1.0,0
Riverside Point,0,0,0,1,0,1,0,0,103.8441676190972,1.289292505294204,0,0.0,0.0,0.0,2.0,15872.0,17824.0,4915.0,0.0,0
Plantation Plaza,0,0,0,1,0,1,0,0,103.7341748512027,1.357593194361345,1,6.0,38.0,339.0,2.0,81015.0,50163.0,5885.0,1.0,0
People Park Complex ,0,0,0,0,1,1,0,0,103.8425199726656,1.284133971784198,0,,,,,,,,,0
Katong V,0,0,0,1,0,1,0,0,103.9028255857622,1.303946699991795,0,0.0,0.0,0.0,1.0,46571.0,30652.0,6544.0,1.0,0
Lucky Chinatown,0,0,0,1,0,1,0,0,103.8433096448122,1.283653198633762,0,0.0,0.0,0.0,5.0,1564.0,24472.0,6692.0,1.0,0
Wilkie Edge,0,0,0,0,1,1,0,0,103.8495113113922,1.302122027196933,0,0.0,0.0,0.0,3.0,842.0,15222.0,3655.0,0.0,0
