name,HPM,latitude,longitude,postal,count_of_postal_codes
Shaw Centre,0,1.306113346556505,103.8319705818116,228208,1
Showplace (Resorts World Sentosa),0,1.257038644685504,103.8220387144045,098138,1
Siglap Centre,0,1.312886617936242,103.9240583431442,455871,9
Siglap Centre,0,1.312886617936242,103.9240583431442,459092,9
Siglap Centre,0,1.312886617936242,103.9240583431442,459104,9
Siglap Centre,0,1.312886617936242,103.9240583431442,459094,9
Siglap Centre,0,1.312886617936242,103.9240583431442,459098,9
Siglap Centre,0,1.312886617936242,103.9240583431442,459102,9
Siglap Centre,0,1.312886617936242,103.9240583431442,459100,9
Siglap Centre,0,1.312886617936242,103.9240583431442,459106,9
Siglap Centre,0,1.312886617936242,103.9240583431442,459096,9
Sim Lim Square,0,1.303024260571796,103.8530378140664,188504,1
Singpost Centre,1,1.367657110496312,103.9089550035539,408600,3
Singpost Centre,1,1.367657110496312,103.9089550035539,533864,3
Singpost Centre,1,1.367657110496312,103.9089550035539,533863,3
Square 2,0,1.320705109568455,103.8441607096606,307506,1
Sun Plaza,0,1.3591201098526,103.946269422122,757713,1
Sunshine Place,0,1.377897275999276,103.7390154860207,680475,1
Suntec City,1,1.295931894771942,103.8590144067362,038983,1
Taman Jurong Shopping Centre,0,1.334844851992345,103.7204620142154,610399,1
Tampines 1,1,1.352701602722757,103.9429035678079,529540,1
Tampines Mall,1,1.352527372785196,103.9446987510717,529510,1
Tanglin Mall,0,1.304843441969151,103.8238527947718,247933,1
Tanglin Place,0,1.305272193185753,103.8250788767588,247918,1
Teck Whye SC,0,1.383649968344577,103.7532918570159,688845,3
Teck Whye SC,0,1.383649968344577,103.7532918570159,688848,3
Teck Whye SC,0,1.383649968344577,103.7532918570159,688261,3
Tekka Place,1,1.304628719492547,103.8522269846324,218227,1
Terminal 3,1,1.356626094134892,103.9865622084943,819663,1
The Cathay,0,1.29957090027016,103.8476941788664,229233,2
The Cathay,0,1.29957090027016,103.8476941788664,228464,2
The Central,0,1.298532876755191,103.8369260784155,059817,5
The Central,0,1.298532876755191,103.8369260784155,059818,5
The Central,0,1.298532876755191,103.8369260784155,059819,5
The Central,0,1.298532876755191,103.8369260784155,239899,5
The Central,0,1.298532876755191,103.8369260784155,239897,5
The Centrepoint,0,1.302009777666765,103.8397766312135,238843,2
The Centrepoint,0,1.302009777666765,103.8397766312135,238844,2
The Clementi Mall,0,1.314896196393653,103.764423054189,129588,1
The Flow Mall,0,1.304573546620177,103.9042031164471,428778,1
The Heeren,0,1.302651601424818,103.8373672131579,238855,1
The Paragon,0,1.303872308799947,103.8358575454689,238859,1
The Poiz Centre,0,1.331497080736245,103.8682140253298,347697,1
The Seletar Mall,0,1.391470153746278,103.876125507257,797653,1
The Shoppes@MBS,0,1.284234960270266,103.8589822829701,018972,2
The Shoppes@MBS,0,1.284234960270266,103.8589822829701,018958,2
The Star Vista,1,1.30697044,103.7884203,138617,1
The Woodleigh Mall,0,1.338730664155658,103.8716700084639,367803,2
The Woodleigh Mall,0,1.338730664155658,103.8716700084639,367897,2
Thomson Plaza,0,1.35432524209239,103.830328102928,574408,1
Tiong Bahru Plaza,1,1.286458894728254,103.8270152561934,168732,1
UE Square,0,1.293111066474587,103.8418105708355,239920,6
UE Square,0,1.293111066474587,103.8418105708355,239917,6
UE Square,0,1.293111066474587,103.8418105708355,239918,6
UE Square,0,1.293111066474587,103.8418105708355,239919,6
UE Square,0,1.293111066474587,103.8418105708355,238274,6
UE Square,0,1.293111066474587,103.8418105708355,238275,6
United Square,1,1.317194509885588,103.8436114430376,307591,1
Valley Point,0,1.293072253,103.8270759,248371,3
Valley Point,0,1.293072253,103.8270759,248372,3
Valley Point,0,1.293072253,103.8270759,248373,3
Velocity @ Novena Square,1,1.319295425,103.8441914,307683,2
Velocity @ Novena Square,1,1.319295425,103.8441914,307685,2
Vista Point,0,1.430897146030165,103.7939274294759,730548,1
VivoCity,0,1.265050842627599,103.8216245803924,098585,2
VivoCity,0,1.265050842627599,103.8216245803924,098886,2
Waterway Point,1,1.406484621320066,103.9021056807848,828761,1
West Coast Plaza,0,1.303697489711002,103.7661312946774,127371,1
West Mall,0,1.350021075943163,103.7492164938305,658713,1
Westgate,1,1.334599257412886,103.7429444516193,608532,2
Westgate,1,1.334599257412886,103.7429444516193,608531,2
Wheelock Place,0,1.304676287302523,103.8306420275763,238880,1
White Sands,1,1.365557146685551,103.9609188693188,518457,2
White Sands,1,1.365557146685551,103.9609188693188,519075,2
Wilkie Edge,0,1.302122027196933,103.8495113113922,228095,1
Wisma Atria,0,1.303704774261485,103.8332057528079,238877,1
Wisteria Mall,0,1.417952885015354,103.841268831617,768698,1
Woodlands Mart,0,1.445622907202213,103.7981409938909,730768,1
Woodlands North Plaza,0,1.442753343277944,103.7905480155114,730883,1
Woods Square,0,1.434758115382413,103.7853654726456,737715,4
Woods Square,0,1.434758115382413,103.7853654726456,737737,4
Woods Square,0,1.434758115382413,103.7853654726456,737714,4
Woods Square,0,1.434758115382413,103.7853654726456,737713,4
Yew Tee Square,0,1.398321345294623,103.747344865384,680624,3
Yew Tee Square,0,1.398321345294623,103.747344865384,680622,3
Yew Tee Square,0,1.398321345294623,103.747344865384,680623,3
YewTee Point,1,1.396969922679733,103.7464431982236,689578,1
Zhongshan Mall,1,1.326945045,103.8465544,329984,1
