name,address,vaccine,postal
Northeast Medical Group (Ghim Moh),"25 Ghim Moh Link, #01-10, Singapore 270025",Pfizer/Comirnaty (JN.1) (5 to 11 years old),270025
Providentia Medical,"24 Holland Grove Road, Parksuites #01-09/10, Singapore 278803",Pfizer/Comirnaty (JN.1) (12 years old & above),278803
OneDoctors Family Clinic,"253 Holland Avenue, #02-01, Hollage Village, Singapore 278982",Pfizer/Comirnaty (JN.1) (6 months to 4 years old) (12 years old & above),278982
Raffles Medical Clinic Holland Village,"118 Holland Avenue #05-02/03/04, Singapore 278997",Pfizer/Comirnaty (JN.1) (12 years old & above),278997
Healthway Medical,"10 Sinaran Drive, Novena Medical Center #09-36, Singapore 307506","Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1) (12 years old & above)",307506
Physicians Practice Family Medical Center,"101 Thomson Road, United Square #01-17, Singapore 307591",Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above),307591
Phoenix Medical Group (Novena),"275 Thomson Road, Commontown Novena Regency, #01-05, Singapore 307645",Moderna/Spikevax (JN.1)(5 years old to 11 years old)(12 years old and above),307645
Providence Novena   ,"1 Goldhill Plaza, Goldhill Plaza #01-29, Singapore 308899","Pfizer/Comirnaty (JN.1) (12 years old & above), Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above)",308899
HeartlandHealth (Kim Keat Palm),"19 Lorong 7 Toa Payoh, #01-272, Singapore 310019","Moderna/Spikevax (JN.1)(5 years old to 11 years old)(12 years old and above), Pfizer/Comirnaty (JN.1)(5 to 11 years old)(12 years old & above)",310019
Finest Health Medical Centre,"19 Lorong 7 Toa Payoh, Kim Keat Palm #01-268, Singapore 310019","Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1) (12 years old and above)",310019
HeartlandHealth (Toa Payoh),"66 Lorong 4 Toa Payoh, Toa Payoh Vista #01-315, Singapore 310066",Pfizer/Comirnaty (JN.1) (12 years old & above)(5 to 11 years old),310066
Healthcare United,"70 Lorong 4 Toa Payoh, #01-335, Singapore 310070",Pfizer/Comirnaty (JN.1) (12 years old & above),310070
Redwood @ TPY clinic and Surgery Pte Ltd,"83 Lorong 2, Toa Payoh Peakview #01-457, Singapore 310083",Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above),310083
Braddell Medical Clinic,"124 Lorong 1 Toa Payoh, #01-489, Singapore 310124","Moderna/Spikevax (JN.1)(5 years old to 11 years old)(12 years old and above), Pfizer/Comirnaty (JN.1)(5 to 11 years old)(12 years old & above)",310124
Union Medical Clinic & Surgery (Toa Payoh),"148 Lorong 1 Toa Payoh, #01-917, Singapore 310148","Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1) (12 years old and above)",310148
Mediview Clinic and Surgery,"150 Toa Payoh Lorong 1, #01-999, Singapore 310150",Pfizer/Comirnaty (JN.1) (6 months to 4 years old) (5 to 11 years old) (12 years old & above),310150
Healthway Medical (Toa Payoh Central),"177 Toa Payoh Central #01-130, Singapore 310177",Pfizer/Comirnaty (JN.1) (12 years old & above),310177
Unihealth 24-Hr Clinic (Toa Payoh),"178 Toa Payoh Central, #01-218, Singapore 310178",Pfizer/Comirnaty (JN.1) (12 years old & above),310178
Bethesda Medical @ TPY,"500 Lorong 6 Toa Payoh, HDB Hub #04-33, Singapore 310500","Moderna/Spikevax (JN.1)(5 years old to 11 years old)(12 years old and above), Pfizer/Comirnaty (JN.1)(5 to 11 years old)(12 years old & above)",310500
Familycare Clinic & Surgery,"85C Toa Payoh Lorong 4, #01-380, Singapore 313085",Pfizer/Comirnaty (JN.1) (12 years old & above),313085
My Family Clinic (Toa Payoh Central),"79D Toa Payoh Central #01-53, Singapore 314079",Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above),314079
Family Health Clinic & Surgery,"2 Balestier Road #01-651, Singapore 320002",Pfizer/Comirnaty (JN.1) (12 years old & above),320002
HeartlandHealth (Whampoa Drive),"87 Whampoa Drive, #01-869, Singapore 320087","Moderna/Spikevax (JN.1)(5 years old to 11 years old)(12 years old and above), Pfizer/Comirnaty (JN.1)(5 to 11 years old)(12 years old & above)",320087
Whampoa Clinic,"88 Whampoa Drive, #01-863, Singapore 320088","Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1) (12 years old and above)",320088
Plushealth Medical Clinic & Surgery,"89 Whampoa Drive, #01-841, Singapore 320089",Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above),320089
Healthway Medical (Towner Road),"101 Towner Road, #01-236, Singapore 322101","Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1) (12 years old and above)",322101
Tan-Teoh Clinic & Surgery,"101 Towner Road, #01-212, Singapore 322101",Moderna/Spikevax (JN.1)(6 months to 4 years old)(5 years old to 11 years old)(12 years old and above),322101
The Tenteram Clinic,"116B Jalan Tenteram #01-549, Singapore 322116",Pfizer/Comirnaty (JN.1) (12 years old & above),322116
Lily Neo Clinic Pte Ltd ,"101 Irrawaddy Road, #19-10, Royal Sqaure Medical Suites @ Novena, Singapore 329565",Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above),329565
Healthify Medical Family Clinic,"262 Balestier Road, OKIO #01-04, Singapore 329714",Pfizer/Comirnaty (JN.1) (12 years old & above),329714
MYDOCTOR@BALESTIER,"360 Balestier Road, Shaw Plaza - Twin Heights, #01-01, Singapore 329783",Pfizer/Comirnaty (JN.1) (6 months to 4 years old) (5 to 11 years old),329783
Oaklife Family Clinic,"592G Balestier Road, Singapore 329902","Pfizer/Comirnaty (JN.1) (5 to 11 years old)(12 years old & above), Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above)",329902
Balestier Medical Clinic ,"221 Balestier Road #02-06, Singapore 329928","Moderna/Spikevax (JN.1)(5 years old to 11 years old)(12 years old and above), Novavax /Nuvaxovid (XBB. 1.5) (12 years old & above)",329928
Livewell Medical Family Clinic,"20 Ah Hood Road, Zhongshan Mall #01-08, Singapore 329984",Moderna/Spikevax (JN.1)(6 months to 4 years old)(5 years old to 11 years old)(12 years old and above),329984
I-Health Medical Clinic,"30 Bendemeer Road, #01-883, Singapore 330030",Pfizer/Comirnaty (JN.1) (12 years old & above),330030
Pariqua Clinic,"47 Bendemeer Road #01-1463, Singapore 330047",Pfizer/Comirnaty (JN.1) (12 years old & above),330047
57 Medical Clinic (Geylang Bahru),"57 Geylang Bahru #01-3505, Singapore 330057",Pfizer/Comirnaty (JN.1) (12 years old & above),330057
Kindred Family Clinic (Kallang Bahru),"63 Kallang Bahru, #01-435, Kallang Bahru Ville, Singapore 330063",Pfizer/Comirnaty (JN.1) (12 years old & above),330063
The Clinic @ Aperia,"12 Kallang Avenue, Aperia #03-15, Singapore 339511","Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1) (12 years old and above)",339511
Healthsprings Medical & Laser Clinic (Bidadari/Woodleigh),"105A Bidadari Park Drive #01-09, Singapore 341105",Pfizer/Comirnaty (JN.1) (12 years old & above),341105
Our Woodleigh Family Clinic,"115B Alkaff Crescent #01-05, Singapore 342115",Pfizer/Comirnaty (JN.1) (6 months to 4 years old) (5 to 11 years old) (12 years old & above),342115
The Bidadari Clinic,"115B Alkaff Cresent, #01-11, Singapore 342115","Pfizer/Comirnaty (JN.1) (6 months to 4 years old) (5 to 11 years old) (12 years old & above), Moderna/Spikevax (JN.1)(6 months to 4 years old)(5 years old to 11 years old)(12 years old and above)",342115
Intemedical Potong Pasir,"51 Upper Serangoon Road, The Poiz Centre #01-29, Singapore 347697",Pfizer/Comirnaty (JN.1) (12 years old & above),347697
Phoenix Medical Group (Potong Pasir),"2 Tai Thong Crescent, The Venue Shoppes #01-16, Singapore 347836",Pfizer/Comirnaty (JN.1) (5 to 11 years old) (12 years old & above),347836
SATA CommHealth Medical Centre,"1 Siang Kuang Avenue, Sennett Estate, Singapore 347919",Moderna/Spikevax (JN.1) (12 years old and above),347919
Potong Pasir Medical Clinic,"148 Potong Pasir Avenue 1, #01-55, Singapore 350148","Pfizer/Comirnaty (JN.1) (5 to 11 years old)(12 years old & above), Moderna/Spikevax (JN.1)(5 years old to 11 years old)(12 years old and above)",350148
Health Link Medical Clinic & Surgery,"5 Upper Aljunied Lane #01-46, Singapore 360005",Pfizer/Comirnaty (JN.1) (12 years old & above),360005
YSL Aljunied Clinic & Surgery,"5 Upper Aljunied Lane, #01-42, Singapore 360005",Pfizer/Comirnaty (JN.1) (12 years old & above),360005
