MALL_NAME,HPM,LAT,LNG,hpb_event_count,hpb_session_count,total_participation,edsh_store_count,edsh_scan_count_12m,catchment_population,catchment_seniors,supermarket_outlet_count
Valley Point,0,1.2931509156788166,103.827100956434,13,43,258,2,28917,47055,10352,1
Velocity @ Novena Square,1,1.31979934279993,103.8438887197415,19,105,1534,30,36091,29100,5015,2
Vista Point,0,1.4308011390122,103.794104795966,4,4,44,8,119786,81145,10526,2
VivoCity,0,1.2646706256306448,103.8219975211945,9,53,1149,59,276975,8846,2096,1
Waterway Point,1,1.40640964880099,103.902130352627,4,53,1369,50,232691,91581,8828,1
West Coast Plaza,0,1.30358622534992,103.76610375397,5,50,500,6,32559,39911,9250,1
West Mall,0,1.35001920979845,103.749244800677,0,0,0,45,59427,76329,16005,2
Westgate,1,1.33431227652545,103.74276523165,23,226,5792,10,1397,31748,8221,1
Wheelock Place,0,1.30467628730252,103.830642027577,0,0,0,1,0,18031,3276,0
White Sands,1,1.36563610941695,103.960861814678,2,52,1378,32,205159,76428,15810,1
Wilkie Edge,0,1.30208598515708,103.849366883599,0,0,0,3,842,15222,3655,0
Wisma Atria,0,1.30369890706785,103.833189592785,17,48,177,12,795,19820,3345,1
Wisteria Mall,0,1.41795288501536,103.841268831617,0,0,0,23,98589,79749,13476,1
Woodlands Mart,0,1.44575077667759,103.798119771428,5,5,39,30,113234,84663,11795,2
Woodlands North Plaza,0,1.44285548185504,103.790965090129,4,4,31,5,80557,68949,10061,1
Woods Square,0,1.434990618687555,103.785305574442,5,51,1263,1,7548,74967,11760,0
Yew Tee Square,0,1.3981266470687002,103.74716712197134,4,4,52,25,117675,66729,10987,0
YewTee Point,1,1.39705741516141,103.746662121143,0,0,0,30,263341,68467,11278,1
Zhongshan Mall,1,1.32694504456951,103.846554377679,2,51,561,7,82048,41493,9216,1
